                            List of relations
 Schema |                    Name                     |   Type   | Owner 
--------+---------------------------------------------+----------+-------
 public | app_blockedmembernode                       | table    | gmn
 public | app_blockedmembernode_id_seq                | sequence | gmn
 public | app_chain                                   | table    | gmn
 public | app_chain_id_seq                            | sequence | gmn
 public | app_chainmember                             | table    | gmn
 public | app_chainmember_id_seq                      | sequence | gmn
 public | app_event                                   | table    | gmn
 public | app_event_id_seq                            | sequence | gmn
 public | app_eventlog                                | table    | gmn
 public | app_eventlog_id_seq                         | sequence | gmn
 public | app_idnamespace                             | table    | gmn
 public | app_idnamespace_id_seq                      | sequence | gmn
 public | app_ipaddress                               | table    | gmn
 public | app_ipaddress_id_seq                        | sequence | gmn
 public | app_localreplica                            | table    | gmn
 public | app_localreplica_id_seq                     | sequence | gmn
 public | app_mediatype                               | table    | gmn
 public | app_mediatype_id_seq                        | sequence | gmn
 public | app_mediatypeproperty                       | table    | gmn
 public | app_mediatypeproperty_id_seq                | sequence | gmn
 public | app_node                                    | table    | gmn
 public | app_node_id_seq                             | sequence | gmn
 public | app_permission                              | table    | gmn
 public | app_permission_id_seq                       | sequence | gmn
 public | app_preferredmembernode                     | table    | gmn
 public | app_preferredmembernode_id_seq              | sequence | gmn
 public | app_remotereplica                           | table    | gmn
 public | app_remotereplica_id_seq                    | sequence | gmn
 public | app_replicainfo                             | table    | gmn
 public | app_replicainfo_id_seq                      | sequence | gmn
 public | app_replicarevisionchainreference           | table    | gmn
 public | app_replicarevisionchainreference_id_seq    | sequence | gmn
 public | app_replicastatus                           | table    | gmn
 public | app_replicastatus_id_seq                    | sequence | gmn
 public | app_replicationpolicy                       | table    | gmn
 public | app_replicationpolicy_id_seq                | sequence | gmn
 public | app_replicationqueue                        | table    | gmn
 public | app_replicationqueue_id_seq                 | sequence | gmn
 public | app_resourcemap                             | table    | gmn
 public | app_resourcemap_id_seq                      | sequence | gmn
 public | app_resourcemapmember                       | table    | gmn
 public | app_resourcemapmember_id_seq                | sequence | gmn
 public | app_scienceobject                           | table    | gmn
 public | app_scienceobject_id_seq                    | sequence | gmn
 public | app_scienceobjectchecksumalgorithm          | table    | gmn
 public | app_scienceobjectchecksumalgorithm_id_seq   | sequence | gmn
 public | app_scienceobjectformat                     | table    | gmn
 public | app_scienceobjectformat_id_seq              | sequence | gmn
 public | app_subject                                 | table    | gmn
 public | app_subject_id_seq                          | sequence | gmn
 public | app_systemmetadatarefreshqueue              | table    | gmn
 public | app_systemmetadatarefreshqueue_id_seq       | sequence | gmn
 public | app_systemmetadatarefreshqueuestatus        | table    | gmn
 public | app_systemmetadatarefreshqueuestatus_id_seq | sequence | gmn
 public | app_useragent                               | table    | gmn
 public | app_useragent_id_seq                        | sequence | gmn
 public | app_whitelistforcreateupdatedelete          | table    | gmn
 public | app_whitelistforcreateupdatedelete_id_seq   | sequence | gmn
 public | auth_group                                  | table    | gmn
 public | auth_group_id_seq                           | sequence | gmn
 public | auth_group_permissions                      | table    | gmn
 public | auth_group_permissions_id_seq               | sequence | gmn
 public | auth_permission                             | table    | gmn
 public | auth_permission_id_seq                      | sequence | gmn
 public | auth_user                                   | table    | gmn
 public | auth_user_groups                            | table    | gmn
 public | auth_user_groups_id_seq                     | sequence | gmn
 public | auth_user_id_seq                            | sequence | gmn
 public | auth_user_user_permissions                  | table    | gmn
 public | auth_user_user_permissions_id_seq           | sequence | gmn
 public | django_content_type                         | table    | gmn
 public | django_content_type_id_seq                  | sequence | gmn
 public | django_migrations                           | table    | gmn
 public | django_migrations_id_seq                    | sequence | gmn
(74 rows)

